MS.SubClass,Lot.Area,Lot.Shape,Bldg.Type,Overall.Qual,Year.Built,Year.Remod.Add,Mas.Vnr.Area,Total.Bsmt.SF,Heating,Central.Air,Electrical,Gr.Liv.Area,Bedroom.AbvGr,TotRms.AbvGrd,Fireplace.Qu,Garage.Area,Yr.Sold,Sale.Type,Street,SalePrice
60,10625,Regular,1Fam,7,11,11,0,1026,GasA,1,SBrkr,1958,3,9,Y,936,2008,WD ,1,250000
20,10933,Regular,1Fam,9,7,7,242,1555,GasA,1,SBrkr,1680,1,8,Y,1138,2009,New,1,323262
20,8544,Irregular,1Fam,5,50,10,0,1228,GasA,1,SBrkr,1228,3,6,Y,271,2008,WD ,1,149350
60,8826,Regular,1Fam,7,16,16,144,985,GasA,1,SBrkr,1842,3,7,Y,486,2007,WD ,1,217500
60,9179,Irregular,1Fam,7,17,17,158,873,GasA,1,SBrkr,1790,3,7,Y,588,2008,WD ,1,193000
80,9150,Irregular,1Fam,6,54,54,305,1099,GasA,1,SBrkr,1431,3,6,Y,296,2008,WD ,1,165000
20,21579,Irregular,1Fam,6,48,48,0,1488,GasA,1,SBrkr,1488,3,7,Y,552,2007,WD,1,215000
50,9490,Regular,1Fam,6,75,66,0,806,GasA,1,Fuse,1578,3,5,Y,240,2006,WD ,1,133000
50,6240,Regular,1Fam,5,86,66,0,928,GasA,1,Fuse,1536,4,7,Y,480,2010,WD ,1,138400
20,10500,Regular,1Fam,4,45,45,0,864,GasA,1,SBrkr,864,2,4,Y,576,2009,WD ,1,97000
60,11929,Irregular,1Fam,8,21,21,466,1242,GasA,1,SBrkr,2501,4,9,Y,751,2008,WD ,1,290000
120,5911,Regular,TwnhsE,9,11,11,278,1560,GasA,1,SBrkr,1565,2,6,Y,556,2006,WD ,1,282500
50,6120,Regular,1Fam,4,81,21,0,884,GasA,1,SBrkr,1573,3,6,Y,240,2009,WD ,1,133000
60,9548,Irregular,1Fam,7,13,13,223,941,GasA,1,SBrkr,1829,3,7,Y,613,2010,WD ,1,237000
45,7449,Regular,1Fam,7,86,66,0,637,GasA,1,Fuse,1108,3,6,Y,280,2007,WD ,1,139400
90,9069,Regular,Duplex,6,23,23,0,1344,GasA,1,SBrkr,1440,2,8,Y,920,2006,WD ,1,224500
20,7150,Regular,1Fam,5,54,54,60,912,GasA,1,SBrkr,912,3,6,Y,252,2009,WD ,1,123000
30,5890,Regular,1Fam,6,86,9,0,816,GasA,1,SBrkr,816,2,5,Y,432,2008,WD ,1,120500
20,14601,Regular,1Fam,9,10,10,584,1838,GasA,1,SBrkr,1838,2,8,Y,765,2009,WD ,1,315000
60,8450,Regular,1Fam,6,15,15,0,827,GasA,1,SBrkr,1677,3,7,Y,627,2008,WD ,1,190500
60,8125,Regular,1Fam,7,10,9,100,1092,GasA,1,SBrkr,1550,2,7,Y,438,2009,WD ,1,241000
60,9157,Irregular,1Fam,7,13,13,0,912,GasA,1,SBrkr,2014,3,9,Y,486,2009,WD ,1,170000
20,11128,Regular,1Fam,9,11,10,198,2458,GasA,1,SBrkr,2490,2,9,Y,795,2009,WD ,1,468000
20,35133,Regular,1Fam,5,53,53,226,1572,GasA,1,SBrkr,1572,3,5,Y,995,2007,WD ,2,186700
60,8125,Regular,1Fam,7,11,10,0,756,GasA,1,SBrkr,1553,3,6,Y,615,2006,New,1,186500
20,11664,Regular,1Fam,6,68,66,206,1082,GasA,1,SBrkr,1082,2,5,Y,240,2007,WD ,1,119200
50,8410,Regular,1Fam,5,106,20,0,658,GasA,1,SBrkr,1184,5,8,Y,0,2006,WD ,1,81000
20,8475,Irregular,1Fam,4,60,60,0,952,GasA,1,Fuse,952,2,4,Y,283,2008,WD ,1,135750
160,2280,Regular,Twnhs,6,38,38,0,855,GasA,1,SBrkr,1456,3,7,Y,440,2010,WD ,1,146000
190,164660,Irregular,2fmCon,5,51,51,0,1499,GasA,1,SBrkr,1786,3,7,Y,529,2008,WD ,2,228950
90,11500,Irregular,Duplex,5,40,40,164,1680,GasA,1,SBrkr,1680,4,8,Y,528,2007,WD ,1,136905
60,8750,Regular,1Fam,7,20,20,0,880,GasA,1,SBrkr,1716,2,7,Y,512,2009,WD ,1,191000
70,9600,Regular,1Fam,7,91,26,0,728,GasA,1,SBrkr,1641,3,6,Y,546,2006,WD ,1,178000
120,3182,Regular,TwnhsE,7,11,10,16,1373,GasA,1,SBrkr,1555,2,7,Y,430,2009,WD ,1,192500
80,9600,Regular,1Fam,6,61,20,0,992,GasA,1,SBrkr,1661,3,8,Y,377,2008,WD ,1,165500
120,4500,Regular,TwnhsE,6,19,19,197,1189,GasA,1,SBrkr,1189,2,4,Y,392,2008,WD ,1,160500
20,11553,Irregular,1Fam,5,48,48,188,1051,GasA,1,SBrkr,1159,3,7,Y,336,2006,WD ,1,158000
60,9337,Irregular,1Fam,6,19,19,0,824,GasA,1,SBrkr,1786,3,7,Y,684,2007,WD ,1,204750
60,8846,Regular,1Fam,6,11,10,0,750,GasA,1,SBrkr,1500,3,6,Y,564,2006,New,1,173900
20,11029,Irregular,1Fam,6,58,14,0,1184,GasA,1,SBrkr,1414,3,6,Y,601,2008,WD ,1,176500
160,2980,Regular,TwnhsE,6,16,16,1159,756,GasA,1,SBrkr,1512,2,5,Y,440,2010,WD ,1,177000
60,11952,Regular,1Fam,7,39,39,0,808,GasA,1,SBrkr,1969,3,8,Y,534,2007,WD ,1,190000
30,7446,Regular,1Fam,4,75,66,0,788,GasA,1,Fuse,788,2,4,Y,0,2006,WD ,1,100000
90,7596,Regular,Duplex,5,64,64,360,960,GasA,1,SBrkr,1960,4,10,Y,400,2009,COD,1,124500
60,16692,Irregular,1Fam,7,38,38,184,1392,GasA,1,SBrkr,2784,5,12,Y,564,2006,WD ,1,250000
20,9650,Regular,1Fam,6,39,39,360,1350,GasA,1,SBrkr,1334,2,6,Y,630,2009,WD ,1,167900
60,11184,Regular,1Fam,6,38,38,92,918,GasA,1,SBrkr,1683,3,7,Y,440,2009,WD ,1,172500
50,7425,Irregular,1Fam,7,71,66,0,672,GasA,1,SBrkr,1668,3,8,Y,252,2008,WD ,1,108000
60,9245,Irregular,1Fam,7,10,10,0,939,GasA,1,SBrkr,1797,3,8,Y,639,2007,WD ,1,213500
20,8020,Irregular,1Fam,5,52,52,0,912,GasA,0,SBrkr,912,3,6,Y,0,2006,WD ,1,124000
20,8910,Regular,1Fam,6,57,57,0,655,GasA,1,SBrkr,1194,3,6,Y,539,2006,WD ,1,159500
20,9100,Regular,1Fam,5,53,53,0,984,GasA,1,SBrkr,984,3,5,Y,384,2008,WD ,1,128000
50,7681,Irregular,1Fam,5,95,66,0,731,GasA,1,SBrkr,1343,3,7,Y,186,2009,WD ,1,154900
20,25095,Irregular,1Fam,5,48,13,0,1437,GasA,1,SBrkr,1473,1,5,Y,452,2009,WD ,1,143000
20,10084,Regular,1Fam,7,11,10,196,1552,GasA,1,SBrkr,1552,3,7,Y,782,2006,New,1,212900
50,6000,Regular,1Fam,6,76,66,0,572,GasA,1,Fuse,1196,3,6,Y,576,2010,WD ,1,128000
20,9591,Regular,1Fam,8,12,11,262,1713,GasA,1,SBrkr,1713,3,7,Y,856,2009,WD ,1,274900
160,2364,Regular,TwnhsE,6,38,38,0,855,GasA,1,SBrkr,1456,3,6,Y,440,2009,WD ,1,138000
20,17808,Regular,1Fam,4,70,66,0,484,GasA,0,SBrkr,1242,2,4,Y,336,2007,WD ,1,109900
20,11423,Regular,1Fam,8,15,14,479,1581,GasA,1,SBrkr,1601,3,6,Y,670,2010,WD ,1,272000
20,11825,Regular,1Fam,8,10,9,302,1694,GasA,1,SBrkr,1694,3,7,Y,856,2007,New,1,322400
20,9750,Irregular,1Fam,5,54,54,0,980,GasA,1,SBrkr,980,3,5,Y,400,2009,WD ,1,110000
20,9000,Regular,1Fam,5,57,57,0,1006,GasA,1,SBrkr,1006,3,5,Y,0,2008,WD ,1,80000
60,7500,Regular,1Fam,6,18,17,0,952,GasA,1,SBrkr,1636,3,7,Y,440,2009,WD ,1,191000
120,5389,Irregular,TwnhsE,8,21,20,0,1595,GasA,1,SBrkr,1616,2,5,Y,608,2010,WD ,1,236500
60,11762,Regular,1Fam,8,24,23,309,1105,GasA,1,SBrkr,2202,4,9,Y,517,2007,WD ,1,263000
50,5400,Regular,1Fam,4,96,66,0,840,GasA,1,SBrkr,1374,2,6,Y,338,2009,WD ,1,105000
20,19508,Regular,1Fam,6,42,42,144,1430,GasA,1,SBrkr,1430,3,6,Y,484,2008,WD ,1,192000
20,7000,Regular,1Fam,5,55,55,0,0,GasA,1,SBrkr,925,3,7,Y,300,2007,WD ,1,99000
20,10044,Irregular,1Fam,5,48,48,0,1196,GasA,1,SBrkr,1196,3,6,Y,336,2010,WD ,1,144000
20,8294,Regular,1Fam,4,45,45,0,858,GasA,1,SBrkr,872,3,5,Y,480,2007,WD ,1,123000
60,12732,Irregular,1Fam,7,42,42,0,752,GasA,1,SBrkr,2067,3,7,Y,784,2009,WD ,1,206000
20,10182,Irregular,1Fam,8,10,10,420,1660,GasA,1,SBrkr,1660,3,8,Y,500,2006,New,1,290000
30,3636,Regular,1Fam,4,94,66,0,796,GasA,0,SBrkr,796,2,5,Y,0,2008,WD ,1,55000
20,7350,Regular,1Fam,5,58,58,0,1041,GasA,1,SBrkr,1041,3,6,Y,294,2009,WD ,1,128000
80,11800,Regular,1Fam,4,67,14,0,0,GasA,1,SBrkr,1382,1,6,Y,384,2007,WD ,1,110000
50,7264,Regular,1Fam,7,91,9,0,952,GasW,0,SBrkr,1548,3,5,Y,672,2009,WD ,1,205000
20,11375,Regular,1Fam,6,62,21,0,967,GasA,1,SBrkr,1299,3,6,Y,494,2007,WD ,1,150000
90,8544,Regular,Duplex,3,67,66,340,0,Wall,0,Fuse,1040,2,6,Y,400,2006,WD ,1,87500
70,5250,Regular,1Fam,8,144,29,0,684,OthW,0,SBrkr,2358,4,8,Y,0,2008,WD ,1,122000
20,8450,Regular,1Fam,5,48,48,90,882,GasA,1,SBrkr,909,3,5,Y,294,2006,COD,1,116000
80,10366,Irregular,1Fam,6,52,52,0,912,GasA,1,SBrkr,934,2,4,Y,336,2006,WD ,1,132000
20,8750,Regular,1Fam,5,60,60,0,1202,GasA,1,SBrkr,1202,3,6,Y,304,2009,COD,1,120000
20,13568,Irregular,1Fam,5,21,21,0,990,GasA,1,SBrkr,990,3,5,Y,576,2006,WD ,1,156000
20,9770,Regular,1Fam,5,59,59,0,922,GasA,1,Fuse,922,2,5,Y,308,2007,WD ,1,116000
120,6710,Irregular,TwnhsE,6,20,19,134,920,GasA,1,SBrkr,936,0,3,Y,460,2007,WD ,1,140000
20,7931,Regular,1Fam,5,56,56,0,1269,GasA,1,Fuse,1269,3,6,Y,308,2008,WD ,1,155000
60,16900,Regular,1Fam,8,15,14,1110,1479,GasA,1,SBrkr,2649,4,10,Y,746,2008,WD ,1,421250
85,11105,Regular,1Fam,5,20,20,0,870,GasA,1,SBrkr,965,2,4,Y,580,2010,WD ,1,159000
20,8978,Irregular,1Fam,5,48,48,0,948,GasA,1,SBrkr,948,3,6,Y,300,2007,WD ,1,108000
20,8334,Regular,1Fam,6,10,9,0,1330,GasA,1,SBrkr,1330,3,6,Y,437,2007,New,1,167840
20,9840,Regular,1Fam,5,57,18,0,1248,GasA,1,SBrkr,1440,2,7,Y,480,2008,WD ,1,185000
20,8780,Irregular,1Fam,5,31,31,0,833,GasA,1,SBrkr,833,3,5,Y,0,2009,WD ,1,112000
20,13050,Regular,1Fam,5,53,53,0,1000,GasA,1,SBrkr,1000,1,4,Y,575,2006,WD ,1,164000
50,11388,Regular,1Fam,4,106,23,0,616,GasA,0,SBrkr,1273,3,5,Y,275,2006,WD ,1,121000
20,12774,Regular,1Fam,5,63,63,0,984,GasW,0,SBrkr,950,2,5,Y,400,2008,WD ,1,130000
160,1484,Regular,TwnhsE,4,44,44,0,546,GasA,1,SBrkr,1092,3,5,Y,253,2006,WD ,1,79400
70,13728,Regular,1Fam,6,81,30,0,1127,GasA,1,SBrkr,2108,4,7,Y,540,2008,WD ,1,235000
160,2117,Regular,Twnhs,6,16,16,216,756,GasA,1,SBrkr,1573,3,5,Y,440,2010,WD ,1,177500
60,10421,Regular,1Fam,7,28,28,42,980,GasA,1,SBrkr,1714,3,7,Y,496,2010,WD ,1,196500
60,17242,Irregular,1Fam,9,23,22,738,1733,GasA,1,SBrkr,3500,4,11,Y,959,2006,WD ,1,584500
30,5900,Irregular,1Fam,4,93,58,0,440,GasA,1,Fuse,869,2,4,Y,0,2006,WD ,1,85500
60,13069,Irregular,1Fam,8,12,12,502,1706,GasA,1,SBrkr,2956,5,11,Y,916,2007,WD ,1,342000
20,11249,Irregular,1Fam,6,21,21,0,1200,GasA,1,SBrkr,1200,3,6,Y,521,2007,WD ,1,177500
50,9000,Regular,1Fam,6,79,66,0,780,GasA,1,SBrkr,1375,3,6,Y,544,2007,WD ,1,141000
60,11900,Regular,1Fam,5,39,39,157,1122,GasA,1,SBrkr,1934,3,6,Y,567,2009,WD ,1,185000
80,7750,Regular,1Fam,8,14,14,0,408,GasA,1,SBrkr,1419,3,7,Y,527,2009,WD ,1,184100
50,18837,Irregular,1Fam,6,38,38,0,1224,GasA,1,SBrkr,1891,3,7,Y,678,2010,WD ,1,212500
60,10207,Regular,1Fam,7,9,9,0,874,GasA,1,SBrkr,1761,3,7,Y,578,2007,New,1,227875
20,11824,Irregular,1Fam,8,10,10,298,1685,GasA,1,SBrkr,1685,2,5,Y,658,2007,WD ,1,253000
80,11950,Irregular,1Fam,7,13,13,0,384,GasA,1,SBrkr,1394,3,7,Y,400,2007,WD ,1,165500
50,23920,Regular,1Fam,6,32,32,0,1105,GasA,1,SBrkr,1822,4,7,Y,515,2007,WD ,1,228500
30,12342,Irregular,1Fam,4,76,66,0,861,GasA,1,SBrkr,861,1,4,Y,539,2009,WD ,1,82500
180,3675,Regular,TwnhsE,6,11,11,76,547,GasA,1,SBrkr,1072,2,5,Y,525,2007,WD ,1,140000
